,products,product,title,subTitle,currencyAmount,currencyType,displayPrice,isDomestic,id,price,productSellerCode,approvalStatus,saleStatus,stockItems,bundle,currencyAmount,displayPrice,optionPrice,attributes,id,quantity,version
0,,,40 Kg Elektronik Terazi Manav Terazisi Bakkal Terazisi,,250.00,1,192.50,false,392590007,250.00,90021,1,2,"
                        ",,250.00,192.50,,,392590007,,
1,,,Concord Plus7go 1GB Ram 16GB Hafıza Tablet Pc Bilgisayar,,420.00,1,336.00,false,392585195,420.00,90020,1,2,"
                        ",,420.00,336.00,,,392585195,,
2,,,Dearling RF-3033 Epilasyon Aleti 3 in 1,,220.00,1,112.20,false,392576941,220.00,90018,1,2,"
                        ",,220.00,112.20,,,392576941,,
3,,,Dearling RF-7006 Çok Amaçlı Tırnak Törpüsü Topuk Taşı Epilatör,,220.00,1,112.20,false,392574501,220.00,90019,1,2,"
                        ",,220.00,112.20,,,392574501,,
4,,,Concord C-789 BT | TF | USB | FM | LCD Saat Alarmlı Hoparlör,,82.00,1,82.00,false,392571869,82.00,900015,1,2,"
                        ",,82.00,82.00,,,392571869,,
5,,,AUDİOMAX MX-534 2800 WATT 4 KANAL STEREO MONO ARAÇ TESİSAT AMFİSİ,,339.00,1,294.93,false,392568219,339.00,900014,1,2,"
                        ",,339.00,294.93,,,392568219,,
6,,,Kulak Burun Kılı Temizleme Makinesi,,28.00,1,28.00,false,392565253,28.00,900013,1,2,"
                        ",,28.00,28.00,,,392565253,,
7,,,Sony DSX-A416BT Bluetooth ve Extrabass özellikli Oto Teyp,,850.00,1,552.50,false,392561439,850.00,900012,1,2,"
                        ",,850.00,552.50,,,392561439,,
8,,,Çift Bataryalı Moser Type Tıraş Makinesi Saç Sakal Düzeltme,,200.00,1,98.00,false,392489049,200.00,900011,1,2,"
                        ",,200.00,98.00,,,392489049,,
9,,,Bluetooth Hoparlör Disco Sahne Disko Topu USB LED Işıklı MP3,,300.00,1,117.00,false,392483608,300.00,900010,1,2,"
                        ",,300.00,117.00,,,392483608,,
10,,,Yeni Tasarım Star Master Projeksiyon Gece Lambası,,42.30,1,42.30,false,392374891,42.30,70651482,1,2,"
                        ",,42.30,42.30,,,392374891,,
11,,,Seyyar 3 x 1.5 Makaralı Uzatma Kablosu 50 M,,136.00,1,136.00,false,392373209,136.00,70651485,1,2,"
                        ",,136.00,136.00,,,392373209,,
12,,,Seyyar 3 x 1.5 Makaralı Uzatma Kablosu 35 M,,126.00,1,126.00,false,392373185,126.00,70651484,1,2,"
                        ",,126.00,126.00,,,392373185,,
13,,,Seyyar 3 x 1.5 Makaralı Uzatma Kablosu 20 M,,104.25,1,104.25,false,392373181,104.25,70651483,1,2,"
                        ",,104.25,104.25,,,392373181,,
14,,,Şarjlı Silikon Yüz Temizleme Fırçası,,85.00,1,85.00,false,392373105,85.00,70651481,1,2,"
                        ",,85.00,85.00,,,392373105,,
15,,,Şarzlı Ayak Törpüsü Pempe,,48.40,1,48.40,false,391964945,48.40,70651476,1,2,"
                        ",,48.40,48.40,,,391964945,,
16,,,Şarzlı Ayak Törpüsü Mavi,,48.40,1,48.40,false,391964942,48.40,70651474,1,2,"
                        ",,48.40,48.40,,,391964942,,
17,,,Ocean VL-24 36-lı Makyaj Fırça Seti,,118.75,1,118.75,false,391964118,118.75,70651467,1,2,"
                        ",,118.75,118.75,,,391964118,,
18,,,Ocean Lüx Kaşık Fırça Set,,164.00,1,164.00,false,391964090,164.00,70651469,1,2,"
                        ",,164.00,164.00,,,391964090,,
19,,,Ocean 88-li Far Paleti,,58.00,1,58.00,false,391964024,58.00,70651472,1,2,"
                        ",,58.00,58.00,,,391964024,,
20,,,Ocean 24-lü Makyaj Fırça Seti,,77.50,1,77.50,false,391963936,77.50,70651470,1,2,"
                        ",,77.50,77.50,,,391963936,,
21,,,Ayak Bakım Seti,,40.60,1,40.60,false,391960122,40.60,70651477,1,2,"
                        ",,40.60,40.60,,,391960122,,
22,,,Dermaroller Gold 540 Titanyum İğneli 1mm,,95.50,1,52.53,false,391955933,95.50,90009,1,2,"
                        ",,95.50,52.53,,,391955933,,
